score,feature
score_0,K02988
score_0,K03699
score_0,K01214
score_0,K06223
score_0,K01154
score_0,K02433
score_0,K01843
score_0,K00313
score_0,K12990
score_0,K07056
score_0,K02050
score_0,K15633
score_0,K12339
score_0,K09789
score_0,K02745
score_0,K13953
score_0,K02585
score_0,K01905
score_0,K12213
score_0,K00969
score_0,K01548
score_0,K01879
score_0,K00239
score_0,K01035
score_0,K01295
score_0,K00758
score_0,K03646
score_0,K05989
score_0,K14415
score_0,K03719
score_0,K21471
score_0,K07776
score_0,K00806
score_0,K22468
score_0,K01610
score_0,K07484
score_0,K00073
score_0,K01872
score_0,K16850
score_0,K06320
score_0,K06897
score_0,K01195
score_0,K12297
score_0,K07217
score_0,K01216
score_0,K10007
score_0,K11646
score_0,K11534
score_0,K06962
score_0,K09820
score_0,K16950
score_0,K04772
score_0,K01647
score_0,K10548
score_0,K13015
score_0,K16214
score_0,K03272
score_0,K18856
score_0,K12268
score_0,K19294
score_0,K20112
score_0,K16209
score_0,K05349
score_0,K07343
score_0,K03188
score_0,K08311
score_0,K07214
score_0,K02911
score_0,K00170
score_0,K12685
score_0,K02564
score_0,K21394
score_0,K00926
score_0,K14088
score_0,K01807
score_0,K04028
score_0,K01247
score_0,K21140
score_0,K02086
score_0,K00824
score_0,K02863
score_0,K05342
score_0,K18206
score_0,K10716
score_0,K03271
score_0,K01218
score_0,K17624
score_0,K00936
score_0,K09696
score_0,K01821
score_0,K04751
score_0,K16264
score_0,K01338
score_0,K20480
score_0,K03521
score_0,K19310
score_0,K16238
score_0,K01941
score_0,K20885
score_0,K07451
score_0,K03734
score_0,K02238
score_0,K21345
score_0,K18234
score_0,K01804
score_0,K02302
score_0,K02523
score_0,K16435
score_0,K13327
score_0,K07051
score_0,K09988
score_0,K21012
score_0,K02907
score_0,K12995
score_0,K04562
score_0,K09703
score_0,K07800
score_0,K07054
score_0,K00613
score_0,K07278
score_0,K03736
score_0,K07074
score_0,K21613
score_0,K02843
score_0,K00950
score_0,K04019
score_0,K12209
score_0,K09819
score_0,K01633
score_0,K23107
score_0,K03584
score_0,K15727
score_0,K03977
score_0,K01478
score_0,K19068
score_0,K02590
score_0,K08717
score_0,K02435
score_0,K07316
score_0,K19285
score_0,K22477
score_0,K12203
score_0,K01488
score_0,K23163
score_0,K02067
score_0,K00184
score_0,K18214
score_0,K04090
score_0,K10778
score_0,K01322
score_0,K11004
score_0,K15772
score_0,K01687
score_0,K00656
score_0,K02078
score_0,K01945
score_0,K09803
score_0,K00880
score_0,K21472
score_0,K21132
score_0,K22994
score_0,K18139
score_0,K06182
score_0,K03490
score_0,K17810
score_0,K00927
score_0,K06907
score_0,K09949
score_0,K01621
score_0,K11031
score_0,K01354
score_0,K07315
score_0,K00773
score_0,K16091
score_0,K04761
score_0,K07270
score_0,K03531
score_0,K03735
score_0,K09770
score_0,K07118
score_0,K18930
score_0,K06191
score_0,K07458
score_0,K00390
score_0,K00720
score_0,K01991
score_0,K21900
score_0,K13652
score_0,K01126
score_0,K00362
score_0,K14086
score_0,K07735
score_0,K02586
score_0,K01933
score_0,K01191
score_0,K06217
score_0,K05589
score_0,K07069
score_0,K22396
score_0,K12217
score_0,K23301
score_0,K01179
score_0,K16786
score_0,K03606
score_0,K04013
score_0,K00045
score_0,K18334
score_0,K02477
score_0,K15771
score_0,K16052
score_0,K01868
score_0,K00658
score_0,K06891
score_0,K11928
score_0,K00803
score_0,K15726
score_0,K02077
score_0,K01466
score_0,K01937
score_0,K00338
score_0,K05566
score_0,K00759
score_0,K06201
score_0,K15554
score_0,K07165
score_0,K00957
score_0,K13694
score_0,K05794
score_0,K03106
score_0,K06990
score_0,K10036
score_0,K16650
score_0,K02042
score_0,K13277
score_0,K15915
score_0,K09136
score_0,K01838
score_0,K13611
score_0,K01060
score_0,K02193
score_0,K11329
score_0,K00655
score_0,K02761
score_0,K01457
score_0,K11707
score_0,K03724
score_0,K07239
score_0,K09684
score_0,K07404
score_0,K06402
score_0,K01679
score_0,K01873
score_0,K00197
score_0,K01589
score_0,K00341
score_0,K00145
score_0,K11751
score_0,K03552
score_0,K17234
score_0,K20903
score_0,K03186
score_0,K18474
score_0,K04044
score_0,K21936
score_0,K07112
score_0,K09007
score_0,K01185
score_0,K04095
score_0,K20450
score_0,K05780
score_0,K03411
score_0,K01768
score_0,K04075
score_0,K07712
score_0,K13525
score_0,K02493
score_0,K02012
score_0,K05567
score_0,K12960
score_0,K02501
score_0,K15553
score_0,K01777
score_0,K11072
score_0,K07457
score_0,K01929
score_0,K01551
score_0,K00077
score_0,K20626
score_0,K03273
score_0,K01069
score_0,K01039
score_0,K00441
score_0,K02569
score_0,K07098
score_0,K12214
score_0,K21814
score_0,K02400
score_0,K22116
score_0,K12138
score_0,K00657
score_0,K14414
score_0,K19172
score_0,K19789
score_0,K00370
score_0,K08168
score_0,K15898
score_0,K11710
score_0,K04764
score_0,K03470
score_0,K03446
score_0,K12065
score_0,K17213
score_0,K02019
score_0,K22430
score_0,K00694
score_0,K18122
score_0,K01114
score_0,K23541
score_0,K12992
score_0,K12137
score_0,K23170
score_0,K19427
score_0,K09969
score_0,K01193
score_0,K10907
score_0,K03772
score_0,K19139
score_0,K11181
score_0,K22232
score_0,K09167
score_0,K18349
score_0,K13788
score_0,K11709
score_0,K18475
score_0,K00135
score_0,K01950
score_0,K09144
score_0,K02051
score_0,K09001
score_0,K06941
score_0,K23169
score_0,K16925
score_0,K19883
score_0,K00373
score_0,K06166
score_0,K03756
score_0,K01581
score_0,K20484
score_0,K03704
score_0,K01058
score_0,K01728
score_0,K18350
score_0,K03182
score_0,K03090
score_0,K02688
score_0,K07357
score_0,K01625
score_0,K02533
score_0,K01812
score_0,K11785
score_0,K06221
score_0,K07813
score_0,K02224
score_0,K01809
score_0,K00042
score_0,K02397
score_0,K03409
score_0,K11606
score_0,K06929
score_0,K22349
score_0,K03830
score_0,K16885
score_0,K16235
score_0,K01938
score_0,K14091
score_0,K02045
score_0,K02784
score_0,K03638
score_0,K17236
score_0,K11615
score_0,K01737
score_0,K07491
score_0,K01429
score_0,K04783
score_0,K03390
score_0,K06859
score_0,K23352
score_0,K03412
score_0,K19170
score_0,K00041
score_0,K01266
score_0,K06606
score_0,K01147
score_0,K03562
score_0,K01649
score_0,K08161
score_0,K00010
score_0,K18303
score_0,K00094
score_0,K15520
score_0,K06395
score_0,K04749
score_0,K11690
score_0,K18120
score_0,K23077
score_0,K05363
score_0,K13288
score_0,K19710
score_0,K20509
score_0,K03497
score_0,K02056
score_0,K13929
score_0,K05916
score_0,K19169
score_0,K03604
score_0,K17218
score_0,K07127
score_0,K21681
score_0,K15125
score_0,K19273
score_0,K02283
score_0,K23356
score_0,K06408
score_0,K00164
score_0,K09964
score_0,K07275
score_0,K07729
score_0,K11065
score_0,K07654
score_0,K07106
score_0,K13990
score_0,K20341
score_0,K11051
score_0,K23537
score_0,K12140
score_0,K01823
score_0,K01626
score_0,K14090
score_0,K18014
score_0,K01176
score_0,K06334
score_0,K02010
score_0,K09477
score_0,K03642
score_0,K18205
score_0,K12111
score_0,K20862
score_0,K16153
score_0,K07250
score_0,K07219
score_0,K21619
score_0,K13963
score_0,K00065
score_0,K12503
score_0,K02282
score_0,K17073
score_0,K07080
score_0,K03572
score_0,K07741
score_0,K12218
score_0,K09011
score_0,K03732
score_0,K13819
score_0,K01685
score_0,K18479
score_0,K05337
score_0,K01803
score_0,K20265
score_0,K00978
score_0,K07272
score_0,K01011
score_0,K08297
score_0,K11214
score_0,K18545
score_0,K01866
score_0,K00625
score_0,K07979
score_0,K00640
score_0,K01926
score_0,K21344
score_0,K05568
score_0,K02230
score_0,K19119
score_0,K02047
score_0,K09697
score_0,K04566
score_0,K00344
score_0,K12528
score_0,K07739
score_0,K16922
score_0,K10681
score_0,K00619
score_0,K16961
score_0,K01816
score_0,K11050
score_0,K16846
score_0,K07126
score_0,K07037
score_0,K01738
score_0,K00002
score_0,K01613
score_0,K02119
score_0,K16923
score_0,K20257
score_0,K07666
score_0,K16212
score_0,K02664
score_0,K17074
score_0,K02028
score_0,K01436
score_0,K15583
score_0,K16087
score_0,K02291
score_0,K01783
score_0,K08319
score_0,K14982
score_0,K09825
score_0,K18814
score_0,K13280
score_0,K07507
score_0,K02444
score_0,K01628
score_0,K02313
score_0,K01854
score_0,K11180
score_0,K10107
score_0,K00009
score_0,K01284
score_0,K01999
score_0,K18828
score_0,K01449
score_0,K09979
score_0,K09791
score_0,K18118
score_0,K01485
score_0,K09931
score_0,K20488
score_0,K03926
score_0,K02415
score_0,K01561
score_0,K09692
score_0,K03399
score_0,K01849
score_0,K11738
score_0,K03077
score_0,K18890
score_0,K01780
score_0,K01629
score_0,K12072
score_0,K01262
score_0,K07032
score_0,K18285
score_0,K07006
score_0,K01993
score_0,K06205
score_0,K02591
score_0,K09689
score_0,K04014
score_0,K01958
score_0,K09155
score_0,K03738
score_0,K00111
score_0,K05306
score_0,K07787
score_0,K00547
score_0,K01579
score_0,K03564
score_0,K09138
score_0,K23573
score_0,K04750
score_0,K11749
score_0,K07148
