feature,importance_sum,importance_mean,freq_top20,weighted_score,dataset,selected
% CD3- CD19- DR+ d0,0.0450173629189253,0.003751446909910442,4.0,0.07245265059952341,immune,False
CD8+ MAIT % RO+ CD27+ d0,0.0438281175826235,0.0036523431318852915,4.0,0.07053863406809385,immune,False
% CD8+ RO- CCR6- INFg+ TNFa+ d1,0.0501322315159207,0.0041776859596600584,3.0,0.06949802986087773,immune,False
% CD4+ M FOXP3+ d1,0.0496346545347063,0.004136221211225525,3.0,0.06880824169759715,immune,False
% CD4+ RO+ INFg- IL4+ d1,0.042316220937321396,0.003526351744776783,4.0,0.06810533028746271,immune,False
% CD4+ RO+ CCR6- d6,0.049087615337406,0.0040906346114505,3.0,0.06804988434306819,immune,False
% CD8+ MAIT total IL-17+ d6,0.040031396708396394,0.0033359497256996995,4.0,0.0644280475501828,immune,False
% CD8+ INFg- TNFa+ d1 P8,0.0400084988411463,0.0033340415700955253,4.0,0.06439119485451662,immune,False
% CD8+ IL-17- IL-22+ d6,0.03998395648585319,0.0033319963738210993,4.0,0.06435169545744747,immune,False
% CD4+ RO+ FOXP3+ INFg- TNFa+ IL-17+ d1,0.039165968701920795,0.0032638307251600662,4.0,0.06303519490607871,immune,False
% CD8+ RO- Va7.2- INFg+ TNFa+ d6,0.0389452853380937,0.003245440444841142,4.0,0.0626800187336919,immune,False
CD8+ MAIT % RO+ CD27- d0,0.0383250981490369,0.0031937581790864086,4.0,0.06168186595881795,immune,False
% viable CD3+ d6,0.04410459522904381,0.003675382935753651,3.0,0.06114195166549866,immune,False
%DN MAIT d0,0.04380503870977251,0.0036504198924810424,3.0,0.06072667815199616,immune,False
% CD4+ RO+ CCR6- INFg- TNFa+ d1,0.0359027933094898,0.002991899442457483,4.0,0.057783316714578245,immune,False
% CD4+ RO+ total IL-17+ d1,0.0407317355142247,0.0033943112928520587,3.0,0.056466175261996494,immune,False
% CD4+ RO+ INFg- TNFa+ d1,0.034941790693734494,0.0029118158911445413,4.0,0.056236642670833316,immune,False
% CD8+ RO+ CCR6- IL4+ GMCSF- d1,0.0404865943983328,0.003373882866527733,3.0,0.05612633751535691,immune,False
% CD8+ RO- Va7.2- total INFg+ d6,0.04035165315456131,0.0033626377628801093,3.0,0.055939269230033985,immune,False
% CD4+ RO+ total INFg+ d1 P8,0.0402351527608808,0.0033529293967400667,3.0,0.05577776539120645,immune,False
% CD8+ RO+ CCR6- INFg- TNFa+ d1,0.03914996926108699,0.003262497438423916,3.0,0.05427338162466194,immune,False
% CD4+ RO+ CD161+ IL-17- INFg+ d6,0.039060111249609605,0.0032550092708008003,3.0,0.0541488119700494,immune,False
% CD8+ MAIT INFg+ TNFa+ d1,0.0382185499925906,0.0031848791660492163,3.0,0.05298216034490698,immune,False
% CD4+ M CCR6+ CXCR3- d0,0.0374634419486819,0.0031219534957234916,3.0,0.05193535832160008,immune,False
CD3+ gdTCR+ CD3lo,0.037100835764893404,0.003091736313741117,3.0,0.05143267941370689,immune,False
CD8+ MAIT % RO- CD27+ d0,0.0370714489829489,0.003089287415245742,3.0,0.051391940683605766,immune,False
% CD8+ RO- CCR6- total INFg+ d1,0.0462142053550105,0.0038511837795842086,2.0,0.05077149391404609,immune,False
% CD8+ MAIT INFg+ TNFa- d1,0.04284905818623131,0.003570754848852609,2.0,0.04707450188124858,immune,False
% CD8+ RO- CCR6- INFg- TNFa+ d1,0.0428397109600038,0.00356997591333365,2.0,0.047064232903650076,immune,False
% CD8+ MAIT INFg+ GzA- d1,0.042513758605954195,0.0035428132171628495,2.0,0.046706137641970874,immune,False
% CD4+ RO+ INFg+ GzA- d1,0.032831299196186804,0.0027359415996822335,3.0,0.045513844943913764,immune,False
% viable CD3- CCR6- CD161+ INFg+ d1,0.0411508695439409,0.0034292391286617416,2.0,0.04520885097035172,immune,False
% CD4+ CD161+ Va7.2- d0,0.0411320271867475,0.0034276689322289586,2.0,0.045188150525191574,immune,False
% CD19+ CD3- CD27+ IgG- d0,0.0407896524711288,0.0033991377059274,2.0,0.04481201345528362,immune,False
% CD4+ RO+ CD161- IL-17+ INFg+ d6,0.04070629761858251,0.003392191468215209,2.0,0.04472043878995614,immune,False
CD8+ DN+ MAIT % RO+ CD27+ d0,0.0406918950316517,0.0033909912526376416,2.0,0.04470461593096535,immune,False
% CD4+ RO+ IL-22+ IL-17+ d1,0.03929022768985559,0.0032741856408212994,2.0,0.043164726964643386,immune,False
% CD8+ RO+ CCR6+ IL4- GMCSF+ d1,0.0390219777567645,0.003251831479730375,2.0,0.04287002429171511,immune,False
% CD4+ M total CCR6+ d0,0.030547152811722003,0.0025455960676435004,3.0,0.04234734569115782,immune,False
% viable CD3- CCR6- GzA+ INFg- d1,0.038444905932193595,0.003203742161016133,2.0,0.042236046093797386,immune,False
% CD4+ RO+ INFg+ IL-17- d1,0.0379852228967928,0.0031654352413994,2.0,0.04173103266221381,immune,False
% DN MAIT d6,0.0371037572834306,0.0030919797736192168,2.0,0.04076264370733573,immune,False
% CD8+ M CCR4+ CXCR3- d0,0.0370305652975565,0.003085880441463042,2.0,0.04068223409222242,immune,False
% Dcs d0,0.03632579872552261,0.0030271498937935507,2.0,0.03990796887554349,immune,False
% CD4+ RO+ CCR6+ CD161+ IL-17+ INFg- d6,0.035511622285074894,0.0029593018570895743,2.0,0.03901350463292357,immune,False
CD8+ DN+ MAIT % RO+ CD27- d0,0.0354565275060567,0.002954710625504725,2.0,0.038952976831652726,immune,False
% CD4+ RO+ CCR6+ CD161+ IL-17+ INFg+ d6,0.035352970888887406,0.0029460809074072837,2.0,0.03883920825945764,immune,False
% DR+ CD3- d0,0.0347738917532088,0.0028978243127674003,2.0,0.038203024804889824,immune,False
% DN RO- CCR6- INFg+ TNFa- d1,0.034634882128565705,0.0028862401773804753,2.0,0.03805030712301378,immune,False
