score,feature
score_0,lignoceroyl sphingomyelin (d18:1/24:0)
score_0,glucose
score_0,dodecadienoate (12:2)*
score_0,"2,3-dihydroxyisovalerate"
score_0,gamma-glutamylisoleucine*
score_0,1-stearoyl-2-oleoyl-GPI (18:0/18:1)*
score_0,1-ribosyl-imidazoleacetate*
score_0,"bilirubin (Z,Z)"
score_0,indoleacetate
score_0,etiocholanolone glucuronide
score_0,pregnenolone sulfate
score_0,glutamine_degradant*
score_0,2-hydroxyhippurate (salicylurate)
score_0,pentose acid*
score_0,X-12844
score_0,X-21470
score_0,X-11299
score_0,4-acetamidobutanoate
score_0,1-methyl-5-imidazoleacetate
score_0,pregnenetriol sulfate*
score_0,3-methylhistidine
score_0,acetylcarnitine (C2)
score_0,betaine
score_0,X-19141
score_0,N-stearoyl-sphinganine (d18:0/18:0)*
score_0,glycosyl-N-palmitoyl-sphingosine (d18:1/16:0)
score_0,"sphingomyelin (d18:2/23:0, d18:1/23:1, d17:1/24:1)*"
score_0,retinol (vitamin A)
score_0,creatinine
score_0,X-24949
score_0,X-21736
score_0,glycolithocholate sulfate*
score_0,1-myristoyl-2-palmitoyl-GPC (14:0/16:0)
score_0,piperine
score_0,1-stearoyl-2-linoleoyl-GPE (18:0/18:2)*
score_0,2-keto-3-deoxy-gluconate
score_0,1-(1-enyl-palmitoyl)-2-palmitoyl-GPC (P-16:0/16:0)*
score_0,X-23782
score_0,X-12411
score_0,epiandrosterone sulfate
score_0,7-methylxanthine
score_0,3-ureidopropionate
score_0,beta-citrylglutamate
score_0,cortisone
score_0,X-24328
score_0,X-25520
score_0,X-15503
score_0,1-methyl-4-imidazoleacetate
score_0,X-12822
score_0,1-linoleoylglycerol (18:2)
score_0,7-methylguanine
score_0,taurochenodeoxycholate
score_0,andro steroid monosulfate C19H28O6S (1)*
score_0,2-hydroxybehenate
score_0,phenol sulfate
score_0,cis-4-decenoate (10:1n6)*
score_0,2-methylserine
score_0,X-12849
score_0,"androstenediol (3alpha, 17alpha) monosulfate (3)"
score_0,2-palmitoleoyl-GPC (16:1)*
score_0,X-21607
score_0,N-palmitoylglycine
score_0,X-21471
score_0,octadecanedioylcarnitine (C18-DC)*
score_0,spermidine
score_0,phenylalanine
score_0,stachydrine
score_0,"ceramide (d18:1/17:0, d17:1/18:0)*"
score_0,X-24544
score_0,gamma-glutamylglutamine
score_0,"N,N,N-trimethyl-alanylproline betaine (TMAP)"
score_0,myristate (14:0)
score_0,2-hydroxyglutarate
score_0,"sphingomyelin (d18:1/18:1, d18:2/18:0)"
score_0,sphingomyelin (d18:2/18:1)*
score_0,4-hydroxy-2-oxoglutaric acid
score_0,X-16580
score_0,3-methylxanthine
score_0,dopamine 3-O-sulfate
score_0,N-acetylphenylalanine
score_0,"9,10-DiHOME"
score_0,sphinganine
score_0,inosine
score_0,leucine
score_0,palmitate (16:0)
score_0,glutamate
score_0,threonine
score_0,cysteine
score_0,fructose
score_0,nonadecanoate (19:0)
score_0,caproate (6:0)
score_0,trans-4-hydroxyproline
score_0,N-acetylleucine
score_0,creatine
score_0,gamma-glutamylhistidine
score_0,N1-methyladenosine
score_0,3-phenylpropionate (hydrocinnamate)
score_0,theobromine
score_0,4-methyl-2-oxopentanoate
score_0,"1,2-dipalmitoyl-GPC (16:0/16:0)"
score_0,docosahexaenoate (DHA; 22:6n3)
score_0,isovalerate (i5:0)
score_0,homoarginine
score_0,propionylcarnitine (C3)
score_0,N6-carbamoylthreonyladenosine
score_0,N1-methyl-4-pyridone-3-carboxamide
score_0,oleoylcarnitine (C18:1)
score_0,1-linoleoyl-GPE (18:2)*
score_0,isobutyrylglycine
score_0,7alpha-hydroxy-3-oxo-4-cholestenoate (7-Hoca)
score_0,hexadecanedioate (C16-DC)
score_0,octadecanedioate (C18-DC)
score_0,hexanoylglutamine
score_0,pyrraline
score_0,1-stearoyl-2-oleoyl-GPE (18:0/18:1)
score_0,glycosyl-N-stearoyl-sphingosine (d18:1/18:0)
score_0,succinylcarnitine (C4-DC)
score_0,"5alpha-pregnan-3beta,20alpha-diol disulfate"
score_0,glycocholenate sulfate*
score_0,taurocholenate sulfate*
score_0,"androstenediol (3alpha, 17alpha) monosulfate (2)"
score_0,gamma-CEHC
score_0,palmitoyl sphingomyelin (d18:1/16:0)
score_0,cinnamoylglycine
score_0,formiminoglutamate
score_0,sulfate*
score_0,S-methylcysteine sulfoxide
score_0,16-hydroxypalmitate
score_0,leucylalanine
score_0,imidazole propionate
score_0,pregnanediol-3-glucuronide
score_0,mannonate*
score_0,2-aminooctanoate
score_0,"sphingomyelin (d18:1/14:0, d16:1/16:0)*"
score_0,"sphingomyelin (d18:2/16:0, d18:1/16:1)*"
score_0,6-oxopiperidine-2-carboxylate
score_0,methionine sulfone
score_0,N-acetyltaurine
score_0,"sphingomyelin (d18:2/14:0, d18:1/14:1)*"
score_0,"1,2-dilinoleoyl-GPC (18:2/18:2)"
score_0,1-(1-enyl-stearoyl)-2-oleoyl-GPE (P-18:0/18:1)
score_0,oleate/vaccenate (18:1)
score_0,"sphingomyelin (d18:2/24:1, d18:1/24:2)*"
score_0,1-stearoyl-2-linoleoyl-GPC (18:0/18:2)*
score_0,1-palmitoyl-2-arachidonoyl-GPI (16:0/20:4)*
score_0,1-stearoyl-2-linoleoyl-GPI (18:0/18:2)
score_0,1-(1-enyl-stearoyl)-2-arachidonoyl-GPE (P-18:0/20:4)*
score_0,1-(1-enyl-palmitoyl)-2-oleoyl-GPE (P-16:0/18:1)*
score_0,behenoyl dihydrosphingomyelin (d18:0/22:0)*
score_0,"sphingomyelin (d18:0/18:0, d19:0/17:0)*"
