feature
(14 or 15)-methylpalmitate (a17:0 or i17:0)
(16 or 17)-methylstearate (a19:0 or i19:0)
(2 or 3)-decenoate (10:1n7 or n8)
(N(1) + N(8))-acetylspermidine
(S)-3-hydroxybutyrylcarnitine
"1,2-dilinoleoyl-GPC (18:2/18:2)"
"androstenediol (3beta,17beta) disulfate (2)"
"androstenediol (3beta,17beta) monosulfate (1)"
"androstenediol (3beta,17beta) monosulfate (2)"
androsterone glucuronide
androsterone sulfate
arabitol/xylitol
arabonate/xylonate
arachidate (20:0)
arachidonate (20:4n6)
arachidonoylcarnitine (C20:4)
arachidoylcarnitine (C20)*
argininate*
arginine
ascorbic acid 2-sulfate
ascorbic acid 3-sulfate*
asparagine
behenoyl dihydrosphingomyelin (d18:0/22:0)*
behenoyl sphingomyelin (d18:1/22:0)*
behenoylcarnitine (C22)*
benzoate
beta-alanine
beta-citrylglutamate
beta-cryptoxanthin
beta-hydroxyisovalerate
betaine
"bilirubin (E,E)*"
"bilirubin (E,Z or Z,E)*"
"bilirubin (Z,Z)"
biliverdin
branched chain 14:0 dicarboxylic acid**
"branched-chain, straight-chain, or cyclopropyl 10:1 fatty acid (1)*"
"branched-chain, straight-chain, or cyclopropyl 12:1 fatty acid*"
butyrate/isobutyrate (4:0)
butyrylcarnitine (C4)
caprate (10:0)
caproate (6:0)
caprylate (8:0)
carnitine
carotene diol (1)
carotene diol (2)
carotene diol (3)
catechol sulfate
"ceramide (d18:1/14:0, d16:1/16:0)*"
"ceramide (d18:1/17:0, d17:1/18:0)*"
cerotoylcarnitine (C26)*
cholate
cholesterol
choline
choline phosphate
cinnamoylglycine
cis-4-decenoate (10:1n6)*
cis-4-decenoylcarnitine (C10:1)
citraconate/glutaconate
citrate
citrulline
cortisol
cortisone
cortolone glucuronide (1)
creatine
creatinine
"cys-gly, oxidized"
cysteine
cysteine s-sulfate
cysteinylglycine
cysteinylglycine disulfide*
cystine
cytidine
decadienedioic acid (C10:2-DC)**
dehydroepiandrosterone sulfate (DHEA-S)
deoxycarnitine
deoxycholic acid glucuronide
dihomo-linoleate (20:2n6)
dihomo-linolenate (20:3n3 or n6)
dihomo-linolenoylcarnitine (C20:3n3 or 6)*
dihomo-linoleoylcarnitine (C20:2)*
dihydroorotate
dimethylarginine (SDMA + ADMA)
dimethylglycine
docosadienoate (22:2n6)
docosadioate (C22-DC)
docosahexaenoate (DHA; 22:6n3)
docosapentaenoate (n3 DPA; 22:5n3)
docosapentaenoate (n6 DPA; 22:5n6)
dodecadienoate (12:2)*
dodecanedioate (C12-DC)
dodecenedioate (C12:1-DC)*
dopamine 3-O-sulfate
ectoine
eicosanedioate (C20-DC)
eicosapentaenoate (EPA; 20:5n3)
eicosenedioate (C20:1-DC)*
eicosenoate (20:1)
epiandrosterone sulfate
erucate (22:1n9)
erythritol
erythronate*
ethyl beta-glucopyranoside
ethylmalonate
etiocholanolone glucuronide
formiminoglutamate
fructose
fructosyllysine
fucitol
fumarate
gamma-CEHC
gamma-glutamyl-alpha-lysine
gamma-glutamylcitrulline*
gamma-glutamylglutamate
gamma-glutamylglutamine
gamma-glutamylglycine
gamma-glutamylhistidine
gamma-glutamylisoleucine*
gamma-glutamylleucine
gamma-glutamylmethionine
gamma-glutamylthreonine
gamma-glutamylvaline
gamma-tocopherol/beta-tocopherol
gluconate
glucose
glucuronate
glucuronide of piperine metabolite C17H21NO3 (4)*
glutamate
glutamine
glutamine conjugate of C6H10O2 (1)*
glutamine conjugate of C6H10O2 (2)*
glutamine conjugate of C7H12O2*
glutamine_degradant*
glutarate (C5-DC)
glutarylcarnitine (C5-DC)
glycerol
glycerol 3-phosphate
glycerophosphoethanolamine
glycerophosphorylcholine (GPC)
glycine
glycine conjugate of C10H14O2 (1)*
glycochenodeoxycholate
glycochenodeoxycholate 3-sulfate
glycochenodeoxycholate glucuronide (1)
glycocholate
glycocholenate sulfate*
glycodeoxycholate 3-sulfate
glycolithocholate sulfate*
"glycosyl ceramide (d18:1/20:0, d16:1/22:0)*"
"glycosyl ceramide (d18:2/24:1, d18:1/24:2)*"
glycosyl-N-behenoyl-sphingadienine (d18:2/22:0)*
glycosyl-N-palmitoyl-sphingosine (d18:1/16:0)
glycosyl-N-stearoyl-sphingosine (d18:1/18:0)
glycoursodeoxycholate
guaiacol sulfate
guanidinoacetate
gulonate*
heme
heptenedioate (C7:1-DC)*
hexadecadienoate (16:2n6)
hexadecanedioate (C16-DC)
hexadecenedioate (C16:1-DC)*
hexanoylcarnitine (C6)
hexanoylglutamine
hippurate
histidine
homoarginine
homocitrulline
homostachydrine*
hydantoin-5-propionate
hydroxy-CMPF*
"hydroxy-N6,N6,N6-trimethyllysine*"
hydroxyasparagine**
hydroxypalmitoyl sphingomyelin (d18:1/16:0(OH))**
hyocholate
hypotaurine
imidazole lactate
imidazole propionate
iminodiacetate (IDA)
indoleacetate
indolelactate
indolepropionate
inosine
isobutyrylcarnitine (C4)
isobutyrylglycine
isoleucine
isoursodeoxycholate
isovalerate (i5:0)
isovalerylcarnitine (C5)
isovalerylglycine
kynurenate
kynurenine
lactate
lactosyl-N-behenoyl-sphingosine (d18:1/22:0)*
lactosyl-N-nervonoyl-sphingosine (d18:1/24:1)*
lactosyl-N-palmitoyl-sphingosine (d18:1/16:0)
lanthionine
laurate (12:0)
laurylcarnitine (C12)
leucine
leucylalanine
lignoceroyl sphingomyelin (d18:1/24:0)
lignoceroylcarnitine (C24)*
linoleate (18:2n6)
linolenate [alpha or gamma; (18:3n3 or 6)]
linolenoylcarnitine (C18:3)*
linoleoyl-arachidonoyl-glycerol (18:2/20:4) [2]*
linoleoyl-linoleoyl-glycerol (18:2/18:2) [1]*
linoleoyl-linoleoyl-glycerol (18:2/18:2) [2]*
linoleoylcarnitine (C18:2)*
linoleoylcholine*
lithocholate sulfate (1)
lysine
lyxonate
malate
maleate
mannitol/sorbitol
mannonate*
mannose
margarate (17:0)
margaroylcarnitine (C17)*
metabolonic lactone sulfate
methionine
methionine sulfone
methionine sulfoxide
methylsuccinate
myo-inositol
myristate (14:0)
myristoleate (14:1n5)
myristoyl dihydrosphingomyelin (d18:0/14:0)*
myristoylcarnitine (C14)
nervonoylcarnitine (C24:1)*
nicotinamide
nonadecanoate (19:0)
nonanoylcarnitine (C9)
octadecadienedioate (C18:2-DC)*
octadecanedioate (C18-DC)
octadecanedioylcarnitine (C18-DC)*
octadecenedioate (C18:1-DC)
octadecenedioylcarnitine (C18:1-DC)*
oleamide
oleate/vaccenate (18:1)
oleoyl-arachidonoyl-glycerol (18:1/20:4) [2]*
oleoyl-linoleoyl-glycerol (18:1/18:2) [1]
oleoyl-linoleoyl-glycerol (18:1/18:2) [2]
oleoylcarnitine (C18:1)
ornithine
orotate
orotidine
oxalate (ethanedioate)
p-cresol glucuronide*
p-cresol sulfate
palmitate (16:0)
palmitoleate (16:1n7)
palmitoleoylcarnitine (C16:1)*
